,id,class
0,10000,0.0
1,10001,0.0
2,10002,0.0
3,10003,0.0
4,10004,0.0
5,10005,0.0
6,10006,0.0
7,10007,0.0
9,10009,0.0
10,10010,0.0
11,10011,0.0
12,10012,0.0
13,10013,0.0
14,10014,0.0
15,10015,0.0
16,10016,0.0
17,10017,0.0
18,10018,0.0
19,10019,0.0
20,10020,0.0
21,10021,0.0
22,10022,0.0
23,10023,0.0
24,10024,0.0
25,10025,0.0
26,10026,0.0
27,10027,0.0
28,10028,0.0
29,10029,0.0
30,10030,0.0
31,10031,0.0
32,10032,0.0
33,10033,0.0
34,10034,0.0
35,10035,0.0
36,10036,0.0
37,10037,0.0
38,10038,0.0
39,10039,0.0
40,10040,0.0
41,10041,0.0
42,10042,0.0
43,10043,0.0
44,10044,0.0
45,10045,0.0
46,10046,0.0
47,10047,0.0
48,10048,0.0
49,10049,0.0
50,10050,0.0
51,10051,0.0
52,10052,0.0
53,10053,0.0
54,10054,0.0
55,10055,0.0
56,10056,0.0
57,10057,0.0
58,10058,0.0
59,10059,0.0
60,10060,0.0
62,10062,0.0
63,10063,0.0
64,10064,0.0
65,10065,0.0
66,10066,0.0
67,10067,0.0
68,10068,0.0
69,10069,0.0
70,10070,0.0
71,10071,0.0
72,10072,0.0
73,10073,0.0
74,10074,0.0
75,10075,0.0
76,10076,0.0
77,10077,0.0
78,10078,0.0
79,10079,0.0
80,10080,0.0
81,10081,0.0
82,10082,0.0
83,10083,0.0
84,10084,0.0
85,10085,0.0
86,10086,0.0
87,10087,0.0
88,10088,0.0
89,10089,0.0
90,10090,0.0
91,10091,0.0
92,10092,0.0
93,10093,0.0
94,10094,0.0
95,10095,0.0
96,10096,0.0
97,10097,0.0
98,10098,0.0
99,10099,0.0
100,10100,0.0
101,10101,0.0
102,10102,0.0
103,10103,0.0
104,10104,0.0
105,10105,0.0
106,10106,0.0
107,10107,0.0
108,10108,0.0
109,10109,0.0
110,10110,0.0
111,10111,0.0
112,10112,0.0
